ctvnews.ca,0
carlsjr.com,64
deltadentalins.com,256
digbysblog.blogspot.com,640
jacquielawson.com,0
sleepnumber.com,257
howtosimplified.com,640
dc.gov,0
dodge.com,256
pdfconverterhq.com,640
google.fr,640
txdmv.gov,640
vitalsource.com,640
cbs.com,640
canada.ca,0
android.com,640
sigmaaldrich.com,0
dailylocalguide.com,640
kochava.com,640
swimoutlet.com,640
igeeksblog.com,640
shouldianswer.com,640
dteenergy.com,257
google.org,640
ncl.com,256
skysports.com,0
bloodhorse.com,256
microcenter.com,0
collegeboard.org,257
bmwusa.com,0
fixya.com,640
women.com,640
smart.link,640
allmusic.com,640
google.com.br,640
myjobhelper.com,640
equifax.com,0
easypdfcombine.com,640
nature.com,0
tradesy.com,640
thestar.com,193
thenorthface.com,257
wellsfargocommunity.com,0
googletraveladservices.com,640
hardees.com,64
gyazo.com,640
taobao.com,0
softonic.com,640
rasmussen.edu,0
propublica.org,640
printfriendly.com,640
talx.com,64
vans.com,257
weatherstreet.com,0
boardgamegeek.com,640
getformsonline.com,640
timberland.com,257
ampproject.org,640
gmail.co,640
findlocalweather.com,0
google.co.uk,640
sky.com,0
denniskirk.com,257
sjsu.edu,0
blair.com,257
touchofclass.com,640
inverse.com,640
efile.com,0
joinhoney.com,640
vanguard.com,192
chrysler.com,256
google.de,640
boscovs.com,640
blogger.com,640
netspend.com,0
cookieandkate.com,1920
sidereel.com,640
keurig.com,0
wrangler.com,257
ramtrucks.com,256
juju.com,64
travelclick.com,0
sheplers.com,0
infinitecampus.org,0
link2gov.com,0
youtube.com,640
equibase.com,256
checkfreescore.com,0
brown.edu,257
ford.com,0
supercuts.com,0
nest.com,640
shared.com,640
evernote.com,640
nv.gov,0
astrology-zodiac-signs.com,640
americangreetings.com,0
googleblog.com,640
bluemountain.com,0
mom365.com,0
mymodernmet.com,1920
cotrip.org,0
wellsfargoadvisors.com,0
realist.com,257
triviahive.com,640
bu.edu,0
poki.com,640
heart.org,0
gameskinny.com,640
buyfordnow.com,0
ky.gov,256
biomedcentral.com,0
google.ca,640
globo.com,0
google.com,640
bbvacompass.com,0
couponxplorer.com,640
zhihu.com,0
glassesusa.com,640
factcheck.org,640
g.co,640
